Performer,Song,spotify_genre
Wade Flemons,What's Happening,['deep northern soul']
Eddy Arnold,What's He Doing In My World,"['nashville sound', 'traditional country', 'yodeling']"
Busta Rhymes Featuring Janet,What's It Gonna Be?!,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']"
Dusty Springfield,What's It Gonna Be,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'motown', 'rock', 'soul', 'vocal jazz']"
Jellybean Featuring Niki Haris,What's It Gonna Be,['asmr']
Jagged Edge,What's It Like,"['atl hip hop', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']"
Clay Walker,What's It To You,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock']"
Nick Lachey,What's Left Of Me,['dance pop']
Warren G Featuring Adina Howard,"What's Love Got To Do With It (From ""Supercop"")","['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']"
Tina Turner,What's Love Got To Do With It,"['disco', 'europop', 'mellow gold', 'new wave pop', 'soft rock']"
Rod Wave,What's Love??,['florida rap']
Fat Joe Featuring Ashanti,What's Luv?,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
Jerry Lee Lewis,What's Made Milwaukee Famous (Has Made A Loser Out Of Me),"['brill building pop', 'piano rock', 'rock-and-roll', 'rockabilly']"
Blink-182,What's My Age Again?,"['pop punk', 'punk', 'socal pop punk']"
Rihanna Featuring Drake,What's My Name?,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
Snoop Dogg,What's My Name?,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
China Anne McClain,What's My Name,"['disney', 'post-teen pop', 'social media pop']"
DMX,What's My Name,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Tom Jones,What's New Pussycat?,"['adult standards', 'british invasion', 'mellow gold']"
Linda Ronstadt & The Nelson Riddle Orchestra,What's New,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']"
Drake,What's Next,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Montell Jordan,What's On Tonight,"['hip hop', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
Information Society,What's On Your Mind (Pure Energy),"['dance rock', 'freestyle', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
Liquid Gold,What's She Got,[]
Ginuwine,What's So Different,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']"
The Miracles,What's So Good About Good-by,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']"
The O'Jays,What's Stopping You,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'southern soul', 'urban contemporary']"
R.E.M.,"What's The Frequency, Kenneth?","['alternative rock', 'permanent wave', 'pop rock', 'rock']"
"10,000 Maniacs",What's The Matter Here?,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']"
Marvin Gaye & Mary Wells,What's The Matter With You Baby,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']"
Young Thug Featuring Lil Uzi Vert,What's The Move,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']"
Ramsey Lewis,What's The Name Of This Funk (spider Man),['soul jazz']
Bobby Edwards,What's The Reason,[]
Jerry Butler,What's The Use Of Breaking Up,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
Smokey Robinson,What's Too Much,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']"
Fu-Schnickens W/ Shaquille O'Neal,What's Up Doc? (Can We Rock),
4 Non Blondes,What's Up,"['new wave pop', 'pop rock']"
DJ Miko,What's Up,[]
Lil Wayne Featuring Nicki Minaj,What's Wrong With Them,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Thomas Rhett,What's Your Country Song,"['contemporary country', 'country', 'country road', 'modern country rock']"
Ludacris Featuring Shawnna,What's Your Fantasy,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Ironhorse,What's Your Hurry Darlin',[]
Tanya Tucker,What's Your Mama's Name,"['country', 'country dawn', 'country rock', 'outlaw country']"
Andrea True Connection,"What's Your Name, What's Your Number",['disco']
Andy & David Williams,What's Your Name,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']"
Don & Juan,What's Your Name,"['rap', 'trap', 'vapor trap']"
Lynyrd Skynyrd,What's Your Name,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']"
Linda Jones,What've I Done (To Make You Mad),"['classic soul', 'motown', 'northern soul', 'southern soul']"
Adam Lambert,Whataya Want From Me,"['australian pop', 'dance pop', 'idol', 'pop', 'post-teen pop']"
Link,Whatcha Gone Do?,"['antiviral pop', 'comic']"
Inner City,Whatcha Gonna Do With My Lovin',"['chicago house', 'deep house', 'detroit house', 'disco house', 'diva house', 'hardcore techno', 'hip house', 'post-disco', 'vocal house']"
Pablo Cruise,Whatcha Gonna Do?,"['country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
Chilliwack,Whatcha Gonna Do,"['album rock', 'canadian indie', 'classic canadian rock']"
Jason Derulo,Whatcha Say,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
The Dramatics,Whatcha See Is Whatcha Get,"['classic soul', 'disco', 'funk', 'jazz funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']"
Mia X Featuring Charlie Wilson,Whatcha Wanna Do?,"['dirty south rap', 'gangster rap', 'hip pop', 'southern hip hop']"
Nat King Cole,Whatcha' Gonna Do,['adult standards']
Whitney Houston,Whatchulookinat,"['dance pop', 'pop', 'r&b']"
Redman,Whateva Man,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'new jersey rap', 'rap', 'southern hip hop', 'wu fam']"
John Lennon With The Plastic Ono Nuclear Band,Whatever Gets You Thru The Night,
Chris Rea,Whatever Happened To Benny Santini?,"['album rock', 'art rock', 'blues rock', 'classic rock', 'mellow gold', 'soft rock']"
B.J. Thomas,Whatever Happened To Old Fashioned Love,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Zac Brown Band,Whatever It Is,"['contemporary country', 'country', 'country road', 'modern country rock']"
Troop,Whatever It Takes (To Make You Stay),"['boy band', 'funk', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Imagine Dragons,Whatever It Takes,['modern rock']
Lifehouse,Whatever It Takes,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']"
David Nail,Whatever She's Got,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Travis Wammack,Whatever Turns You On,[]
Christina Milian Featuring Joe Budden,Whatever U Want,"['dance pop', 'europop', 'hip pop', 'r&b', 'urban contemporary']"
Randy Vanwarmer,Whatever You Decide,['soft rock']
Jackson 5,"Whatever You Got, I Want","['adult standards', 'motown', 'soul']"
Anya Marina,Whatever You Like,"['acoustic pop', 'ann arbor indie']"
T.I.,Whatever You Like,"['atl hip hop', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Martina McBride,Whatever You Say,"['contemporary country', 'country', 'country dawn', 'country road']"
Jerry Butler,Whatever You Want,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
Tony Toni Tone,Whatever You Want,"['dance pop', 'funk', 'hip pop', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
En Vogue,Whatever,"['dance pop', 'girl group', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Ideal Featuring Lil' Mo,Whatever,[]
Ying Yang Twins Featuring Trick Daddy,Whats Happnin!,"['atl hip hop', 'crunk', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,
Salt-N-Pepa Featuring En Vogue,Whatta Man,"['dance pop', 'girl group', 'hip hop', 'hip house', 'hip pop', 'old school hip hop', 'queens hip hop', 'rap']"
LaTanya Featuring Twista,Whatuon,['dutch r&b']
Journey,Wheel In The Sky,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
LaVern Baker,Wheel Of Fortune,"['brill building pop', 'doo-wop', 'jump blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul', 'southern soul', 'torch song']"
The Knightsbridge Strings,Wheel Of Fortune,['light music']
The Doobie Brothers,Wheels Of Fortune,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'yacht rock']"
Gino Vannelli,Wheels Of Life,"['classic canadian rock', 'mellow gold', 'soft rock', 'yacht rock']"
Billy Vaughn And His Orchestra,Wheels,
Foo Fighters,Wheels,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
The String-A-Longs,Wheels,['surf music']
Mel Carter,When A Boy Falls In Love,[]
Sam Cooke,When A Boy Falls In Love,"['adult standards', 'brill building pop', 'classic soul', 'rock-and-roll', 'soul']"
Michael Holm,When A Child Is Born,"['classic schlager', 'german rock', 'schlager', 'volksmusik']"
Bette Midler,When A Man Loves A Woman,"['adult standards', 'mellow gold', 'new wave pop', 'soft rock']"
Michael Bolton,When A Man Loves A Woman,"['adult standards', 'soft rock']"
Percy Sledge,When A Man Loves A Woman,"['brill building pop', 'classic soul', 'soul', 'southern soul']"
Esther Phillips,When A Woman Loves A Man,"['classic soul', 'jazz blues', 'rhythm and blues', 'soul']"
R. Kelly,When A Woman Loves,[]
R. Kelly,When A Woman's Fed Up,[]
ABBA,When All Is Said And Done,"['europop', 'swedish pop']"
Total,When Boy Meets Girl,"['hip hop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
Babyface,When Can I See You,"['dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Prince,When Doves Cry,"['bachata', 'latin', 'latin pop', 'reggaeton', 'tropical']"
Martina McBride,When God-Fearin' Women Get The Blues,"['contemporary country', 'country', 'country dawn', 'country road']"
Sheena Easton,When He Shines,"['adult standards', 'mellow gold', 'minneapolis sound', 'new romantic', 'new wave pop', 'soft rock']"
Peaches & Herb,When He Touches Me (Nothing Else Matters),"['alternative dance', 'dance-punk', 'electroclash', 'escape room', 'new rave']"
Shanice,When I Close My Eyes,"['hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Motherlode,When I Die,[]
No Mercy,When I Die,"['boy band', 'eurodance', 'europop', 'hip house']"
Tommy Page,When I Dream Of You,[]
Crystal Gayle,When I Dream,"['adult standards', 'classic country pop', 'country', 'country rock', 'mellow gold']"
Celine Dion And Clive Griffin,"When I Fall In Love (From ""Sleepless In Seattle"")",
Donny Osmond,When I Fall In Love/Are You Lonesome Tonight,"['bubblegum pop', 'classic uk pop', 'movie tunes']"
Etta Jones,When I Fall In Love,['vocal jazz']
Natalie Cole,When I Fall In Love,"['adult standards', 'lounge', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul', 'vocal jazz']"
The Lettermen,When I Fall In Love,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'vocal harmony group']"
Patsy Cline,When I Get Thru With You (You'll Love Me Too),"['adult standards', 'nashville sound']"
Brad Paisley Featuring Dolly Parton,When I Get Where I'm Going,"['contemporary country', 'country', 'country road']"
Glee Cast,When I Get You Alone,"['glee club', 'hollywood', 'post-teen pop']"
Keith Sweat,When I Give My Love,"['dance pop', 'funk', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Ed Townsend,When I Grow Too Old To Dream,[]
The Beach Boys,When I Grow Up (To Be A Man),"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']"
NF,When I Grow Up,"['hip hop', 'pop rap', 'rap']"
The Pussycat Dolls,When I Grow Up,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']"
Miley Cyrus,When I Look At You,"['dance pop', 'pop', 'post-teen pop']"
Firehouse,When I Look Into Your Eyes,"['album rock', 'glam metal', 'hard rock', 'rock']"
Train,When I Look To The Sky,"['neo mellow', 'pop', 'pop rock']"
Expose,When I Looked At Him,"['freestyle', 'new wave pop']"
Leo Sayer,When I Need You,"['adult standards', 'bubblegum pop', 'classic uk pop', 'country rock', 'disco', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Clint Black,When I Said I Do,"['country', 'country road', 'country rock']"
Kenny Chesney,When I See This Bar,"['contemporary country', 'country', 'country road']"
Fantasia,When I See U,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'pop rap', 'quiet storm', 'r&b', 'urban contemporary']"
Bad English,When I See You Smile,"['album rock', 'glam metal', 'hard rock']"
Jamie O'Neal,When I Think About Angels,"['contemporary country', 'country', 'country dawn', 'country road']"
Gretchen Wilson,When I Think About Cheatin',"['contemporary country', 'country', 'country dawn', 'country road']"
Janet Jackson,When I Think Of You,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Leif Garrett,When I Think Of You,['bubblegum pop']
Barry Manilow,When I Wanted You,"['adult standards', 'bubblegum pop', 'disco', 'lounge', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
Eric Burdon & The Animals,When I Was Young,"['blues rock', 'british blues', 'classic rock', 'psychedelic rock']"
Bruno Mars,When I Was Your Man,['pop']
Chris Jamison,When I Was Your Man,['deep talent show']
Michael Bolton,When I'm Back On My Feet Again,"['adult standards', 'soft rock']"
McGuinness Flint,When I'm Dead And Gone,['classic uk pop']
3 Doors Down,When I'm Gone,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
Brenda Holloway,When I'm Gone,"['classic soul', 'motown', 'northern soul']"
Eminem,When I'm Gone,"['detroit hip hop', 'g funk', 'hip hop', 'rap']"
Wiz Khalifa,When I'm Gone,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Michael Stanley Band,When I'm Holding You Tight,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'soft rock']"
Sheriff,When I'm With You,['classic canadian rock']
Avant,When It Hurts,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'new jack swing', 'pop rap', 'r&b', 'urban contemporary']"
Luke Combs,When It Rains It Pours,['contemporary country']
Van Halen,When It's Love,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
Loverboy,When It's Over,"['album rock', 'classic canadian rock', 'classic rock', 'glam metal', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']"
Sugar Ray,When It's Over,"['alternative metal', 'alternative rock', 'funk metal', 'neo mellow', 'pop rock', 'post-grunge']"
Tony Bennett,When Joanna Loved Me,"['adult standards', 'easy listening', 'vocal jazz']"
The Cuff Links,When Julie Comes Around,[]
Ronnie Dove,When Liking Turns To Loving,['deep adult standards']
Def Leppard,When Love & Hate Collide,"['album rock', 'glam metal', 'hard rock', 'nwobhm', 'rock']"
U2 With B.B. King,When Love Comes To Town,
Donna Summer,When Love Cries,"['dance pop', 'disco', 'europop', 'hi-nrg', 'motown', 'new wave pop']"
Richard Cocciante,When Love Has Gone Away,[]
Arthur Prysock,When Love Is New,[]
Dee Dee Warwick,When Love Slips Away,"['brill building pop', 'southern soul']"
Wynonna,When Love Starts Talkin',"['country', 'country dawn']"
David Guetta Featuring Kelly Rowland,When Love Takes Over,"['dance pop', 'edm', 'pop']"
Steve Alaimo,When My Little Girl Is Smiling,[]
The Drifters,When My Little Girl Is Smiling,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']"
Restless Heart,When She Cries,"['country', 'country rock']"
Joey Scarbury,When She Dances,"['soft rock', 'yacht rock']"
Jason Aldean,When She Says Baby,"['contemporary country', 'country', 'country road']"
Four Tops,When She Was My Girl,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
ABC,When Smokey Sings,[]
Alan Jackson,When Somebody Loves You,"['contemporary country', 'country', 'country road']"
Linda Ronstadt (Featuring Aaron Neville),When Something Is Wrong With My Baby,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']"
Sam & Dave,When Something Is Wrong With My Baby,"['pop', 'uk pop']"
Connie Francis,When The Boy In Your Arms (Is The Boy In Your Heart),"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']"
The Four Pennies,When The Boy's Happy (The Girl's Happy Too),"['british invasion', 'merseybeat']"
Joanie Sommers,When The Boys Get Together,['brill building pop']
White Lion,When The Children Cry,"['album rock', 'glam metal', 'hard rock', 'rock']"
Jennifer Warnes,When The Feeling Comes Around,"['folk', 'lilith']"
Billy Ocean,"When The Going Gets Tough, The Tough Get Going","['dance rock', 'disco', 'europop', 'mellow gold', 'motown', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']"
Elmo & Almo,When The Good Sun Shines,['cartoon']
GTR,When The Heart Rules The Mind,[]
Golden Earring,When The Lady Smiles,"['album rock', 'classic rock', 'dutch prog', 'dutch rock', 'nederpop', 'rock']"
Clipse,When The Last Time,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']"
Five,When The Lights Go Out,"['pop', 'pop rock']"
Gerardo,When The Lights Go Out,"['banda', 'norteno', 'regional mexican', 'regional mexican pop']"
Naked Eyes,When The Lights Go Out,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
The Supremes,When The Lovelight Starts Shining Through His Eyes,"['adult standards', 'brill building pop', 'classic girl group', 'disco', 'funk', 'motown', 'quiet storm', 'soul']"
Hoyt Axton,When The Morning Comes,"['cosmic american', 'country rock', 'oklahoma country']"
Joe Cocker,When The Night Comes,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
Robert John,When The Party Is Over,['dublin indie']
Billie Eilish,When The Party's Over,"['electropop', 'pop']"
Billie Eilish,When The Party's Over,"['electropop', 'pop']"
Paul Shaffer,When The Radio Is On,['jazz organ']
Jermaine Jackson & Pia Zadora,When The Rain Begins To Fall,"['disco', 'funk', 'post-disco', 'quiet storm', 'urban contemporary']"
Andy Taylor,When The Rain Comes Down,[]
Fats Domino,When The Saints Go Marching In,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
"Peter, Paul & Mary",When The Ship Comes In,"['a cappella', 'viral pop']"
Ed Ames,When The Snow Is On The Roses,"['adult standards', 'easy listening']"
Tim McGraw,When The Stars Go Blue,"['contemporary country', 'country', 'country road']"
Kenny Chesney & Uncle Kracker,When The Sun Goes Down,"['contemporary country', 'country', 'country road']"
Vanessa Anne Hudgens,When There Was Me And You,
Engelbert Humperdinck,When There's No You,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
Robin Lane & The Chartbusters,When Things Go Wrong,[]
Drake,When To Say When,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
Carla Thomas,When Tomorrow Comes,"['classic soul', 'memphis soul', 'motown', 'soul', 'southern soul']"
Sting,When We Dance,"['permanent wave', 'soft rock']"
Larry Graham,When We Get Married,"['funk', 'post-disco', 'quiet storm']"
The Dreamlovers,When We Get Married,[]
The Intruders,When We Get Married,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Bardeux,When We Kiss,['freestyle']
Alabama,When We Make Love,"['country', 'country road', 'country rock']"
Nickelback,When We Stand Together,"['alternative metal', 'canadian rock', 'nu metal', 'post-grunge']"
George Harrison,When We Was Fab,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
Adele,When We Were Young,"['british soul', 'pop', 'uk pop']"
Tank,When We,"['deep pop r&b', 'pop rap', 'r&b', 'rap', 'urban contemporary']"
Bros,When Will I Be Famous?,"['basshall', 'dutch hip hop', 'dutch house', 'dutch urban']"
Linda Ronstadt,When Will I Be Loved,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock']"
The Everly Brothers,When Will I Be Loved,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']"
George Hamilton IV,When Will I Know,['traditional country']
The Three Degrees,When Will I See You Again,"['classic girl group', 'disco', 'motown', 'philly soul', 'quiet storm']"
Bell Biv DeVoe,When Will I See You Smile Again?,"['boy band', 'funk', 'hip hop', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']"
Whitney Houston & Mariah Carey,When You Believe,"['dance pop', 'pop', 'r&b']"
Night Ranger,When You Close Your Eyes,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
Neil Young,When You Dance I Can Really Love,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'psychedelic rock', 'rock', 'roots rock', 'singer-songwriter']"
Jay & The Americans,When You Dance,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
Lil Tecca & Polo G Featuring Lil Durk,When You Down,
Bob Mcgilpin,When You Feel Love,['deep disco']
Ronnie Dyson,When You Get Right Down To It,['classic soul']
The Delfonics,When You Get Right Down To It,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Kellie Coffey,When You Lie Next To Me,"['country', 'country dawn', 'oklahoma country']"
Jonas Brothers,When You Look Me In The Eyes,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']"
Journey,When You Love A Woman,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
Brenda Lee,When You Loved Me,"['adult standards', 'brill building pop']"
Darryl Worley,When You Need My Love,"['contemporary country', 'country', 'country road', 'modern country rock']"
Sonny & Cher,When You Say Love,"['deep groove house', 'deep house', 'disco house', 'house', 'uk dance']"
Alison Krauss + Union Station,When You Say Nothing At All,"['bluegrass', 'folk', 'progressive bluegrass']"
Patti LaBelle,When You Talk About Love,"['disco', 'funk', 'motown', 'neo soul', 'new jack swing', 'philly soul', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
American Idol Finalists Season 4,When You Tell Me That You Love Me,['idol']
Jackie DeShannon,When You Walk In The Room,"['brill building pop', 'bubblegum pop', 'merseybeat']"
Paul Carrack,When You Walk In The Room,"['adult standards', 'classic rock', 'classic uk pop', 'mellow gold', 'new wave pop', 'soft rock']"
The Searchers,When You Walk In The Room,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']"
Mitch Ryder,When You Were Mine,[]
The Killers,When You Were Young,"['modern rock', 'permanent wave', 'rock']"
Dion & The Belmonts,When You Wish Upon A Star,"['canadian pop', 'dance pop']"
Gene Chandler,When You're #1,"['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul']"
The Cranberries,When You're Gone/Free To Decide,"['irish rock', 'pop rock', 'rock']"
Avril Lavigne,When You're Gone,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
Brenda & The Tabulations,When You're Gone,"['adult standards', 'brill building pop']"
Jerry Reed,"When You're Hot, You're Hot","['comic', 'country', 'country rock']"
Dr. Hook,When You're In Love With A Beautiful Woman,"['bubblegum pop', 'classic uk pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']"
Ne-Yo,When You're Mad,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
Ralph Carter,When You're Young And In Love,[]
Ruby And The Romantics,When You're Young And In Love,['rhythm and blues']
The Choice Four,When You're Young And In Love,
The Marvelettes,When You're Young And In Love,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']"
3 Doors Down,When You're Young,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
Cock Robin,When Your Heart Is Weak,"['dance rock', 'heartland rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
(+44),When Your Heart Stops Beating,"['emo', 'pop punk', 'skate punk']"
Reparata And The Delrons,Whenever A Teenager Cries,['classic girl group']
Bobby Goldsboro,Whenever He Holds You,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']"
Kenny Loggins,"Whenever I Call You ""Friend""","['album rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock', 'yacht rock']"
John Travolta,Whenever I'm Away From You,"['hollywood', 'pop']"
Patty Duke,Whenever She Holds You,['deep adult standards']
Vince Gill,Whenever You Come Around,"['country', 'country rock', 'oklahoma country']"
Ace Of Base,Whenever You're Near Me,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'pop rock']"
Shakira,"Whenever, Wherever","['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
Kalin Twins,When,"['doo-wop', 'rock-and-roll']"
Barbra Streisand,Where Am I Going?,"['adult standards', 'hollywood', 'mellow gold', 'soft rock']"
Harold Melvin And The Blue Notes,Where Are All My Friends,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
Skrillex & Diplo With Justin Bieber,Where Are U Now,"['brostep', 'complextro', 'edm', 'electro']"
Bobby Bloom,Where Are We Going,['bubblegum pop']
Lenny Kravitz,Where Are We Runnin'?,"['permanent wave', 'pop rock', 'rock']"
Faith Hill,Where Are You Christmas?,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']"
The Brotherhood Of Man,Where Are You Going To My Love,
Dave Matthews Band,Where Are You Going,"['jam band', 'neo mellow', 'pop rock']"
Jerry Butler,Where Are You Going,"['beach music', 'chicago soul', 'classic soul', 'motown', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul']"
Jimmy Harnen With Synch,Where Are You Now?,
Dinah Washington,Where Are You,"['adult standards', 'jazz', 'jazz blues', 'lounge', 'soul', 'swing', 'vocal jazz']"
